"File","LineNumber","Pattern","Text"
"D:\jsp\van_doc_1\c060\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060Lsnr.java","117","FILE_NAME","filePath = fileDir + CONVF_RPT + PATH_SEPARATOR + processDate + PATH_SEPARATOR + FILE_NAME;"
"D:\jsp\van_doc_1\c060\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060Lsnr.java","354","FILE_NAME","String filePath = fileDir + FILE_NAME;"
"D:\jsp\van_doc_1\c060\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060Lsnr.java","539","FILE_NAME","responseTextMap.put(""RPTNAME"", FILE_NAME);"
"D:\jsp\van_doc_1\c060\src\main\java\com\bot\ncl\adapter\in\svc\C060__I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","46","FILE_NAME","private static final String FILE_NAME_1 = ""CL-BH-C060-M1""; // 檔名1"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","47","FILE_NAME","private static final String FILE_NAME_2 = ""CL-BH-C060-M2""; // 檔名2"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","133","FILE_NAME","+ FILE_NAME_1;"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","141","FILE_NAME","+ FILE_NAME_2;"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","52","outputFile","private String outputFilePath1; // 產檔路徑1"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","53","outputFile","private String outputFilePath2; // 產檔路徑2"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","127","outputFile","outputFilePath1 ="
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","135","outputFile","outputFilePath2 ="
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","144","outputFile","textFile.deleteFile(outputFilePath1);"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","145","outputFile","textFile.deleteFile(outputFilePath2);"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","247","outputFile","textFile.writeFileContent(outputFilePath2, fileC060M2Contents, CHARSET);"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C060MLsnr.java","253","outputFile","textFile.writeFileContent(outputFilePath1, fileC060M1Contents, CHARSET);"
"D:\jsp\van_doc_1\c060m\src\main\java\com\bot\ncl\adapter\in\svc\C060M_I.java","11","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c061\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C061Lsnr.java","48","FILE_NAME","private static final String FILE_NAME_1 = ""CL-BH-C061""; // 檔名1"
